ball,commentry
16.4,"16.4 Chahar to Matthew Short, out Caught by Jaiswal!! Flat and straight to Jaiswal at deep mid-wicket. Slower short ball from Chahar once again. Makes Short fetch the delivery from wide of off and it travels head high towards the fielder in the deep. The Indian opener keeps his calm and completes the reverse cup. Matthew Short c Jaiswal b Chahar 22(19) [4s-2 6s-1]"
16.3,"16.3 Chahar to Wade, 1 run, looks to force it straight and gets it off the inside half to the left of mid-on"
16.2,"16.2 Chahar to Matthew Short, 1 run, length delivery stops a touch just outside off, Matthew Short drives it to mid-off"
16.1,"16.1 Chahar to Matthew Short, 2 runs, tough catch and Mukesh fails to get a hand on it. Seam-up short delivery outside off, Short pulls and a top-edge sails to the right of short fine. Initially it was Mukesh moving from short fine and then Jitesh got into the scheme of things at the last moment and it eventually drops well wide of Mukesh to his right"
15.6,"15.6 Mukesh Kumar to Wade, 2 runs, full on leg-stump, Wade clips to the right of deep square and a sharp throw at the bowling end would have made matters interesting, not to be!"
15.5,"15.5 Mukesh Kumar to Matthew Short, 1 run, 130ks half-volley just outside off, Short looks to thump it down the ground and mistimes it off the cue end to long-on"
15.4,"15.4 Mukesh Kumar to Wade, 1 run, 134ks full on the stumps, flicked away to deep mid-wicket"
15.3,"15.3 Mukesh Kumar to Wade, no run, nails the yorker in the blockhole and offers no room whatsoever, Wade looks to pick it off his pads and gets beaten on theg inside edge"
15.3,"15.3 Mukesh Kumar to Wade, no ball, SIX, , typical Matthew Wade. Premeditates the scoop, shuffles a bit, gets under the full ball and times it wonderfully well over fine leg. Went really fine that one. And guess what! To make matters worse for India, it is a front foot no ball from Mukesh Kumar, free-hit coming up..."
15.2,"15.2 Mukesh Kumar to Matthew Short, 1 run, 135ks yorker on off, Short squeezes the drive to long-off"
15.2,"15.2 Mukesh Kumar to Matthew Short, wide, slower and fuller outside the tramline, Matthew Short lets it pass"
15.1,"15.1 Mukesh Kumar to Wade, 1 run, 136ks length outside off, Wade punches it down towards long-off"
14.6,"14.6 Chahar to Wade, 1 run, short of length outside off, Wade opens the bat face and runs it fine of third man"
14.5,"14.5 Chahar to Wade, no run, good length on the stumps, blocked back to the bowler"
14.4,"14.4 Chahar to Tim David, out Caught by Jaiswal!! Tim David's struggles come to and end. Couldn't get going today. Smashed a six off a top-edge and lacked fluency against the spinners. Off-pace bumper just outside off, Tim David pulls but doesn't get the desired connection on it. Drags it off the thick inside half and holes out to Jaiswal at deep mid-wicket. Tim David c Jaiswal b Chahar 19(20) [6s-1]"
14.3,"14.3 Chahar to Matthew Short, 1 run, good length on the stumps, pushed down the ground towards long-on"
14.2,"14.2 Chahar to Matthew Short, SIX, that was begging to be hit and Matthew Short obliges. 129ks short and wide of off-stump, Matthew Short stands tall and slaps it ala golf-smash back over the bowler's head"
14.1,"14.1 Chahar to Tim David, 1 run, knocked down to long-off"
13.6,"13.6 Mukesh Kumar to Matthew Short, no run, yorker on and around off, Matthew Short jams it back to the bowler"
13.5,"13.5 Mukesh Kumar to Matthew Short, no run, looks to slog a seam-up length delivery and gets beaten on the under edge. Didn't miss the off-stump by much on that occasion..."
13.4,"13.4 Mukesh Kumar to Matthew Short, FOUR, tad too full outside off, Matthew Short times the drive superbly and beats the diving effort of mid-on to his right"
13.3,"13.3 Mukesh Kumar to Matthew Short, FOUR, short and in the slot for Matthew Short, he stands tall and heaves it over mid-wicket with disdain"
13.2,"13.2 Mukesh Kumar to Tim David, 1 run, back of a length just outside off, David stands tall and punches to the left of cover for a quick single"
13.1,"13.1 Mukesh Kumar to Tim David, no run, short of length outside off, David opens the bat face and punches to backward point"
12.6,"12.6Ravi Bishnoi to Matthew Short, no run, quicker on off, blocked firmly into the off-side"
12.5,"12.5Ravi Bishnoi to Matthew Short, no run, driven to the right of the bowler"
12.4,"12.4Ravi Bishnoi to Matthew Short, no run, quicker outside off, Short gets across and drives to the left of cover"
12.3,"12.3 Ravi Bishnoi to Matthew Short, no run, looks to clip a quicker delivery and misses it. Knocked low on the pads but that's missing leg"
12.2,"12.2Ravi Bishnoi to Tim David, 1 run, driven down to long-off"
12.1,"12.1Ravi Bishnoi to Tim David, no run, fuller and just outside off, David pushes the drive to cover"
11.6,"11.6Axar to Matthew Short, no run, blocked off the front foot into the off-side"
11.5,"11.5Axar to Matthew Short, 2 runs, clipped away to the right of deep square"
11.4,"11.4Axar to Matthew Short, no run, looks to force it through the off-side and gets beaten on the outside edge"
11.3,"11.3Axar to Matthew Short, no run, full outside off, Short drives it to the left of cover"
11.2,"11.2 Axar to McDermott, out Bowled!! Wicket number 3 for Axar Patel. He has been superb today. Axar shortens his length and slows it up in the air in line with off. McDermott looks to slog over mid-wicket and loses his shape completely. The ball keeps a fraction low and hits the top of off. McDermott b Axar 19(22) [4s-1]"
11.1,"11.1 Axar to McDermott, FOUR, short and sits up nicely on the stumps, McDermott swivels and hammers the pull to the right of mid-wicket with an air of authority..."
10.6,"10.6 Ravi Bishnoi to McDermott, 3 runs, tag team effort from Rinku and Jaiswal. McDermott clips the quicker googly and puts it in the gap through mid-wicket, Rinku puts in a dive to his left from deep mid-wicket and Jaiswal collects the rebound despite a sloppy dive. All that effort to save a single..."
10.5,"10.5 Ravi Bishnoi to Tim David, 1 run, low full toss outside off, Tim David slaps it to sweeper cover off the cue end"
10.4,"10.4 Ravi Bishnoi to McDermott, 1 run, clipped away wide of mid-wicket"
10.3,"10.3 Ravi Bishnoi to McDermott, no run, stunned silence in the stadium. McDermott has enjoyed his slice of luck on the previous couple of occasions (umpire's call), and this time he has been saved by the technology. The googly from Ravi Bishnoi, McDermott kneels down to sweep and gets beaten on the inside edge. the ball lobs off the pad to the left of the keeper who claims the catch. Huge appeal and umpire Jayaraman Madanagopal was quick to raise his finger..."
10.2,"10.2 Ravi Bishnoi to Tim David, 1 run, short on the pads, clipped away to deep square"
10.1,"10.1 Ravi Bishnoi to McDermott, 1 run, quicker googly on the stumps, McDermott works it round the corner on the leg-side for an easy single"
9.6,"9.6 Avesh Khan to McDermott, 1 run, slower full delivery on the stumps, McDermott shows a straight bat and drills it down the ground to the left of long-on. A sliding stop by Ruturaj in the deep keeps it down to a single"
9.5,"9.5 Avesh Khan to Tim David, 1 run, 139ks length delivery on the stumps, pushed firmly down the ground towards long-on"
9.4,"9.4 Avesh Khan to Tim David, no run, good length outside off, chopped away to backward point"
9.3,"9.3 Avesh Khan to Tim David, SIX, top-edge travels all the way for a maximum. 141ks bumper just outside off, David opts for the pull and feeds a healthy edge that soars into the deep backward square stands for a huge sixer"
9.2,"9.2 Avesh Khan to McDermott, 1 run, looks to heave a 140ks length delivery and gets it off the thick inside half towards deep backward square leg"
9.1,"9.1 Avesh Khan to Tim David, 1 run, short of length just outside off, David opens the bat face and guides it down to third man"
8.6,"8.6 Axar to Tim David, leg byes, 1 run, quicker slider on and around leg-stump, David misses the flick and gets it off his thigh pad to the right of square leg"
8.5,"8.5 Axar to McDermott, 1 run, hangs back and punches the in-drifter to long-on"
8.4,"8.4 Axar to McDermott, 2 runs, flat and straight, McDermott forces it straight back past his diving effort to his right. Bishnoi dives to his left from long-on and prevents a certain boundary"
8.3,"8.3 Axar to McDermott, no run, slower and shorter just outside off, McDermott mistimes the punch back to the bowler"
8.2,"8.2 Axar to McDermott, no run, makes room and mistimes the drive to SKY at cover"
8.1,"8.1 Axar to Tim David, 1 run, quicker and wider of off, driven down to long-off"
7.6,"7.6Avesh Khan to Tim David, 1 run, fuller and straighter, flicked away to deep mid-wicket"
7.5,"7.5 Avesh Khan to McDermott, 1 run, advances and tucks the back of a length delivery towards long-on"
7.4,"7.4 Avesh Khan to Tim David, 1 run, this one sits up on a length outside off, Tim David bashes it wide of sweeper cover to his right"
7.4,"7.4 Avesh Khan to Tim David, wide, unveils the bumper outside off, too high as David leaves alone. Called wide for height..."
7.3,"7.3 Avesh Khan to McDermott, 1 run, 123ks length delivery on middle and leg, worked away square on the leg-side"
7.2,"7.2 Avesh Khan to McDermott, no run, seam-up delivery that stays low and whistles past the top of off, McDermott looks to punch and gets beaten due to lack of bounce"
7.1,"7.1 Avesh Khan to Tim David, 1 run, short of length outside off, David punches crisply to the left of backward point"
6.6,"6.6 Axar to Tim David, 1 run, quicker and shorter on the stumps, knocked down to long-on"
6.5,"6.5 Axar to McDermott, 1 run, makes room and slaps the full delivery to the left of long-off"
6.4,"6.4 Axar to Tim David, 1 run, slider on the stumps, Tim David looks to force it into the off-side and gets an inside edge backwards of square leg"
6.3,"6.3 Axar to Tim David, no run, flat on off, punched into the covers"
6.2,"6.2 Axar to Hardie, out Bowled!! Second wicket inside 8 balls for Axar Patel. Slowed it up and got the ball to curve in with a round-arm angle. Hardie looks for the sweep but gets deceived by the lack of pace and loses his middle and off. Hardie b Axar 8(9) [4s-1]"
6.1,"6.1 Axar to Hardie, no run, touch quicker just outside off, Hardie blocks firmly to the left of the bowler"
5.6,"5.6 Ravi Bishnoi to McDermott, no run, McDermott survives a second time. India don't lose the review. This is the googly and he's not picking it, plays all around once again and is struck on the front pad first then the back pad, ball-tracking shows it to be just clipping leg-stump"
5.5,"5.5 Ravi Bishnoi to Hardie, 1 run, nudged into the vacant mid-wicket pocket and the duo settle with a single"
5.4,"5.4 Ravi Bishnoi to Hardie, 2 runs, sliding onto the pads, Hardie flicks it in front of square and picks up a brace"
5.3,"5.3 Ravi Bishnoi to Hardie, no run, leg-lined delivery and Hardie tucks it straight to backward square leg"
5.2,"5.2 Ravi Bishnoi to Hardie, FOUR, flighted but lands it full, Hardie had the width to free his hands and he pumps it straight back over Bishnoi"
5.1,"5.1 Ravi Bishnoi to Hardie, no run, googly and it turns in, Hardie ekes out an inside edge onto the thigh pad"
4.6,"4.6 Axar to Hardie, 1 run, fuller and around off, Hardie eases it to long-off and gets off the mark"
4.5,"4.5 Axar to Hardie, no run, sliding in with the arm, Hardie prods forward and defends it towards cover"
4.4,"4.4Axar to Head, out Caught by Mukesh Kumar!! This is a massive wicket. Head was looking dangerous and he departs against his match-up. Axar was supposed to be targeted by the left hander but instead he picks up his wicket. Head went for the slog sweep but the ball did not turn in, just drifted away a little and hence the big top-edge, the ball skies towards short third and Mukesh takes a good catch. Head c Mukesh Kumar b Axar 31(16) [4s-5 6s-1]"
4.3,"4.3 Axar to McDermott, 1 run, drifting in from round the wicket, McDermott works it wide of mid-on"
4.2,"4.2 Axar to Head, 1 run, fraction short and Head goes back to pull, straight to long-on"
4.1,"4.1 Axar to Head, no run, fuller and outside off, Head drives and picks out mid-off"
3.6,"3.6 Ravi Bishnoi to McDermott, no run, India do not lose the review. This was the wrong 'un and McDermott does not pick it, he plants his foot forward and plays all around it, gets beaten on the inside edge and is rapped on the pads. Just clipping leg-stump"
3.5,"3.5 Ravi Bishnoi to Head, 1 run, short and drifting away, Head chops it towards point and gets off strike"
3.4,"3.4Ravi Bishnoi to McDermott, 1 run, another inside edge and this time the ball rolls backward of square leg"
3.3,"3.3Ravi Bishnoi to McDermott, no run, 97ks faster delivery on middle, McDermott flicks it towards mid-wicket"
3.2,"3.2 Ravi Bishnoi to McDermott, no run, quicker delivery around off, McDermott drives and squirts an inside edge to short fine"
3.1,"3.1 Ravi Bishnoi to Philippe, out Bowled!! Cleaned up! Bishnoi strikes with his first ball. Much needed wicket for India to stem the run flow though they would have loved to see Head back. Philippe decides to play the sweep first up but picks a very full ball, plays all over it and the ball sneaks under the bat, smashes it into the stumps and makes a mess. Philippe b Ravi Bishnoi 8(7) [4s-2]"
2.6,"2.6 Chahar to Head, FOUR, 22 off the over. Now Chahar angles it in from round the wicket, lands it around leg-stump and that's once again easy pickings for Head, he flicks it aerially and clears mid-wicket comfortably"
2.5,"2.5 Chahar to Head, FOUR, Chahar being taken apart. 18 runs already from the over. The change to round the wicket does not help him keep Head quiet. Offers width outside off and Head does not hold back, throws everything behind the lofted shot and sends it sailing over extra cover"
2.4,"2.4 Chahar to Head, SIX, this is off the middle alright. Chahar is still searching for that swing and feeds it right in the arc, inswinger on the pads, Head whips it with a strong bottom hand and clears deep square leg with ease"
2.3,"2.3 Chahar to Head, no run, angled across off, Head steers it towards short third. He thought he had another boundary"
2.2,"2.2 Chahar to Head, FOUR, back to back boundaries. Overpitched on off, Head clears his front leg and smashes it straight back down the ground"
2.1,"2.1 Chahar to Head, FOUR, that's a gift and Head does not miss out. Full toss around off, Head swings across the line and once again not off the middle but still enough to clear the mid-wicket region"
1.6,"1.6 Mukesh Kumar to Philippe, no run, 133.8ks back of a length around off, Philippe punches to backward point"
1.5,"1.5 Mukesh Kumar to Philippe, FOUR, too straight - on middle and leg, Philippe flicks it square and the ball races away to the fence. Neatly done"
1.4,"1.4 Mukesh Kumar to Philippe, no run, bit of extra bounce. Good length ball but Philippe thought it is short enough to play the cut, he goes for it and is defeated by the extra lift as the ball whizzes over his top-edge"
1.3,"1.3 Mukesh Kumar to Head, leg byes, 1 run, stifled appeal for LBW. Cramped for room as Head backs away, misses the flick and is rapped on the pads down leg"
1.3,"1.3 Mukesh Kumar to Head, wide, now sprays it to the other side, shaping down leg and Head does not connect with the whip"
1.3,"1.3 Mukesh Kumar to Head, wide, tries to keep it away from Head's range and sprays it well outside off, easy call for the umpire"
1.2,"1.2 Mukesh Kumar to Head, FOUR, full pitcher and right in the slot, Head takes the aerial route and goes over cover. Not quite off the middle but enough to clear the infield and pick up the boundary"
1.1,"1.1 Mukesh Kumar to Head, no run, 128.8ks angled across and seams away as well, Head throws his bat and is beaten on the outside edge"
0.6,"0.6 Chahar to Philippe, FOUR, shot! After a couple of plays and misses, Philippe connects with the drive and creams it through extra cover. This ball too swung away but Philippe drove it with the swing and managed to middle it"
0.5,"0.5 Chahar to Philippe, no run, 133.9ks fullish delivery swinging away outside off, Philippe tries his best to reach it but can't make any contact"
0.4,"0.4 Chahar to Philippe, no run, jaffa! Fullish delivery and Philippe is drawn into the drive, the ball swings in late and beats the inside edge. Not far from off-stump either"
0.3,"0.3 Chahar to Head, 1 run, uhhh! Banana like away swinger, starts from outside leg-stump and ends up on leg, Head was looking to flick and closes the bat face, the leading edge rolls towards cover and the duo quickly cross over"
0.2,"0.2 Chahar to Head, no run, gentle swing into the left hander, Head moves away and defends it back to Chahar"
0.1,"0.1 Chahar to Head, 2 runs, starts with a leg-lined delivery, Head flicks it off the hips towards deep square leg and Avesh shows some excellent footwork, he runs across and stops it with his boot, saving a couple"
19.6,"19.6 Behrendorff to Ravi Bishnoi, out Ravi Bishnoi Run Out!! 1 run completed. Full delivery at the stumps, Bishnoi flicks it straight to deep mid-wicket and decides to make the most of it, he goes for the second run and is caught well short of the crease. Philippe with the pick up and throw while Wade did the rest at the striker's end. Ravi Bishnoi run out (Philippe/Head) 4(3)"
19.6,"19.6 Behrendorff to Ravi Bishnoi, wide, Wade saves a few for his team. Horrible delivery from Behrendorff, way down leg and it needed a full dive from Wade to just parry the ball to short fine. Avesh wanted a single but Bishnoi sends him back"
19.5,"19.5 Behrendorff to Ravi Bishnoi, 2 runs, angled in from round the wicket, Bishnoi pulls it towards deep square leg where McDermott takes it on the half volley, the batters go back for the second even though Bishnoi lost his bat at the non-striker's end and make it in comfortably"
19.4,"19.4 Behrendorff to Avesh Khan, 1 run, yorker around off, Avesh digs it towards cover and gets off strike"
19.3,"19.3 Behrendorff to Chahar, out Caught by Chris Green!! Another batter bites the dust looking for quick runs. India have lost 4 wickets in the last 9 balls. This was in the slot but since it was the slower ball, Chahar could not generate power on his heave, mistimes it towards long-on and Green runs in to take an easy catch. Chahar c Chris Green b Behrendorff 0(2)"
19.2,"19.2 Behrendorff to Ravi Bishnoi, 1 run, full toss around leg, Bishnoi mistimes the heave to deep mid-wicket"
19.1,"19.1 Behrendorff to Rinku Singh, out Lbw!! That looked more out on first instance than it did on ball-tracker. Rinku departs but does not waste a review. India losing their way a bit towards the end. This was the yorker from Behrendorff and Rinku fails to get his bat down to keep it out, struck low on the pad and right in front of the stumps, ball-tracking showed it to be just brushing leg-stump. Rinku is disappointed but has to walk back. Rinku Singh lbw b Behrendorff 46(29) [4s-4 6s-2]"
18.6,"18.6 Dwarshuis to Chahar, no run, excellent over from Dwarshuis, 7 runs and 2 wickets. Back of a length delivery angled across, Chahar has a tentative poke and is beaten on the outside edge. He was looking to steer it to third man"
18.5,"18.5 Dwarshuis to Axar, out Caught by Sangha!! Another catch taken right on the edge of the rope. This time it is Sangha. Short ball and Axar went for the help-it-along pull shot and gets more of a top-edge, the ball skies towards fine leg and Sangha settles under it, he takes the catch and steps back a couple of times but ensures he does not touch the ad cushions. Axar c Sangha b Dwarshuis 0(1)"
18.5,"18.5 Dwarshuis to Axar, wide, goes for the toe-crusher but sprays it down leg, Axar misses the glance and it is called a wide"
18.4,"18.4 Dwarshuis to Jitesh Sharma, out Caught by Head!! That's a good take by Head. But Jitesh would be disappointed as this was not a wicket-taking delivery - high full toss outside off, Jitesh goes for the big swing down the ground and the bat turns on impact, he miscues it towards long-off and Head takes a well-judged catch just in front of the rope. A handy knock from Jitesh comes to an end. He gave India the much needed impetus after Gaikwad's departure. Jitesh Sharma c Head b Dwarshuis 35(19) [4s-1 6s-3]"
18.3,"18.3 Dwarshuis to Jitesh Sharma, 2 runs, very full and outside off, Jitesh shuffles and scoops it over extra over, couple more"
18.2,"18.2 Dwarshuis to Jitesh Sharma, FOUR, slower ball outside off, Jitesh stays deep in the crease and bashes it past extra cover. He delayed his bat swing a touch and hence could generate the power"
18.1,"18.1 Dwarshuis to Jitesh Sharma, no run, nails the wide yorker outside off, Jitesh fails to dig it out and it is a dot to start"
17.6,"17.6 Behrendorff to Jitesh Sharma, 1 run, too full and around off, Jitesh drives down to long-off and brings up the 50-run stand. Important partnership for India"
17.5,"17.5 Behrendorff to Jitesh Sharma, 2 runs, winds for the big heave to the leg-side but ends up dragging it off the inner half wide of long-on, just a brace"
17.4,"17.4 Behrendorff to Rinku Singh, 1 run, very full delivery and right in the blockhole, Rinku digs it out to long-on"
17.3,"17.3 Behrendorff to Rinku Singh, 2 runs, short and bowled into the wicket, Rinku plays a controlled pull backward of square and races back for the second"
17.2,"17.2 Behrendorff to Rinku Singh, FOUR, just wide of Sangha. Slower ball but drifts down leg, Rinku helps it along the way past a diving short fine"
17.1,"17.1 Behrendorff to Rinku Singh, FOUR, streaky! Not where Rinku intended but he gets the boundary. He wanted to lap it round the corner into the leg-side but ends up getting a top-edge, the ball flies over Wade and races away.."
16.6,"16.6 Hardie to Jitesh Sharma, SIX, turns into a good over for India. Hardie misses his radar with the short of length delivery, around leg-stump and Jitesh gets inside the line, pulls it Calypso style over fine leg"
16.5,"16.5 Hardie to Rinku Singh, 1 run, good length ball on off, Rinku bunts it to mid-wicket and settles with a single"
16.4,"16.4 Hardie to Rinku Singh, FOUR, another slower ball but dug into the surface, Rinku waits and nails the pull in front of square, well wide of deep mid-wicket"
16.3,"16.3 Hardie to Rinku Singh, no run, slower ball outside off, Rinku goes chasing and is deceived by the lack of pace"
16.2,"16.2 Hardie to Jitesh Sharma, 1 run, shimmies down and is met by that hard length, Jitesh still goes through with the cross-batted shot and gets it high on the bat, lobs in front of mid-off and lands safely"
16.1,"16.1 Hardie to Rinku Singh, 1 run, short and angled in from round the wicket, Rinku pulls to long leg"
15.6,"15.6 Sangha to Jitesh Sharma, no run, slower and Jitesh premeditates the reverse sweep, he's through the shot and the ball arrives later. Excellent spell from Sangha comes to an end and he finishes with figures of 4-0-30-2"
15.5,"15.5 Sangha to Jitesh Sharma, 2 runs, short and spinning away, Jitesh cuts in front of square on the off-side and picks up a brace"
15.4,"15.4 Sangha to Rinku Singh, 1 run, drifting away from the southpaw, Rinku cuts square of the wicket and the sweeper tidies up"
15.3,"15.3 Sangha to Rinku Singh, no run, shortens the length and keeps it tight, Rinku knocks it back to Sangha"
15.2,"15.2 Sangha to Rinku Singh, no run, short and turning away, Rinku cuts and picks out backward point"
15.1,"15.1 Sangha to Jitesh Sharma, 1 run, tossed up and Jitesh angles it towards point, picks up a quick single"
15.1,"15.1 Sangha to Jitesh Sharma, wide, wayward delivery well outside off, Jitesh lets it go and collects the wide"
14.6,"14.6 Chris Green to Jitesh Sharma, 1 run, drifted across the right hander, Jitesh drives to long-off and retains strike"
14.5,"14.5 Chris Green to Jitesh Sharma, no run, drags the length back and slows it up a tad, Jitesh is through the shot early and is beaten on the outside edge"
14.4,"14.4 Chris Green to Jitesh Sharma, SIX, second six in the over. Fired full and outside off, Jitesh had the space to free his arms and there's no half measures from him, he goes full throttle on the lofted drive and sends it sailing over extra cover"
14.3,"14.3 Chris Green to Jitesh Sharma, no run, was that a drop? High full toss and Jitesh does not quite get hold of the shot, smacks it straight back at Green and the ball passed him before he could react, strikes umpire Anantha Padmanabhan and goes to ground. The umpire apologises to Jitesh for costing him some runs"
14.2,"14.2 Chris Green to Jitesh Sharma, SIX, Jitesh doesn't take long to get going. But this ball was right in the arc, he shuffles across and bends down to get under it, launches it high and well over deep square leg. Even Rinku is impressed.."
14.1,"14.1 Chris Green to Rinku Singh, 1 run, flatter and not much flight, Rinku knocks it wide of cover and quickly crosses over"
13.6,"13.6 Sangha to Jitesh Sharma, no run, quicker delivery around off, Jitesh eases it to cover"
13.5,"13.5 Sangha to Jitesh Sharma, 2 runs, in the air and wide of mid-wicket. Drifting into the pads, Jitesh whips it aerially and just manages to evade the fielder. Head dived to his right but the ball was well away from him"
13.4,"13.4 Sangha to Rinku Singh, 1 run, slower but shortens the length, Rinku nudges it through mid-wicket"
13.3,"13.3 Sangha to Jitesh Sharma, 1 run, flatter and quicker, Jitesh knocks it to long-on"
13.2,"13.2 Sangha to Gaikwad, out Caught by Dwarshuis!! The partnership has been broken. A well-set Gaikwad departs and Sangha has picked up his second wicket. Flighted delivery on off, Gaikwad backs away to play the inside out loft but the ball just grips a little, takes the outer half of the bat and balloons towards short third, simple catch for Dwarshuis. Gaikwad c Dwarshuis b Sangha 32(28) [4s-3 6s-1]"
13.1,"13.1 Sangha to Gaikwad, FOUR, shot! This is a fraction short and Gaikwad is quick to pounce, he goes back and cuts it behind square on the off-side, splitting backward point and short third perfectly"
12.6,"12.6 Dwarshuis to Rinku Singh, SIX, massive, biggest six of the night - charges down the pitch, takes the momentum into the shovel and sends it soaring into the stands - into the second tier of this massive stadium, that's some hit"
12.5,"12.5 Dwarshuis to Gaikwad, 1 run, on a good length and angling across the right-hander, steered square past point for a single"
12.4,"12.4 Dwarshuis to Rinku Singh, 1 run, back of a length and just outside off, Rinku runs it down towards third man for a single"
12.3,"12.3 Dwarshuis to Gaikwad, 1 run, Dwarshuis drags the length back on off, tucked wide of mid-wicket for a single"
12.2,"12.2 Dwarshuis to Gaikwad, FOUR, lovely, length ball on middle - Ruturaj gets forward, presents the full face of the bat, high elbow and a straight bat, launches it back over the bowler's head, held his pose as he watched the ball bounce away to the ropes"
12.1,"12.1 Dwarshuis to Rinku Singh, 1 run, on a good length and just outside off, pushed in front of mid-on for a quick single"
11.6,"11.6 Matthew Short to Rinku Singh, 1 run, flighted delivery outside off - punched behind square on the off-side for a single"
11.5,"11.5 Matthew Short to Gaikwad, 1 run, the slider from Short, angled across the right-hander and it's chopped square on the off-side for a single"
11.4,"11.4 Matthew Short to Rinku Singh, 1 run, tossed up on middle and leg, nudged behind square on the on-side for a single"
11.3,"11.3 Matthew Short to Rinku Singh, SIX, beautifully played, Rinku brings out the switch-hit, reversed the stance, bent low and then swiped it over backward point - powerfully struck and it sails over the ropes"
11.2,"11.2 Matthew Short to Rinku Singh, no run, Short tosses one on off, pushed back at the bowler"
11.1,"11.1 Matthew Short to Gaikwad, 1 run, flighted delivery from round the wicket - slugged away behind square on the on-side for a single"
10.6,"10.6 Chris Green to Gaikwad, 1 run, pushed through by Green, Ruturaj is hurried onto the pull and mistimes it past mid-wicket for a single"
10.5,"10.5 Chris Green to Gaikwad, no run, flighted delivery on off, defended back at the bowler"
10.4,"10.4 Chris Green to Rinku Singh, 1 run, tossed up on off, stayed a fraction low and it's pushed down to mid-on for a single"
10.3,"10.3 Chris Green to Gaikwad, leg byes, 1 run, too straight from Green, brushes Ruturaj's pad as he looked to flick, rolls past short fine for a leg-bye"
10.2,"10.2 Chris Green to Rinku Singh, 1 run, tossed up on middle and leg, tucked past square leg for a single"
10.1,"10.1 Chris Green to Rinku Singh, no run, flighted delivery on off, defended back at the bowler"
9.6,"9.6 Sangha to Gaikwad, no run, tossed up well wide of off, Ruturaj finds backward point with the cut"
9.5,"9.5 Sangha to Gaikwad, SIX, crunched, a long hop from Sangha - Ruturaj picks the length early, swivels across and then hammers the pull over wide mid-wicket for a maximum"
9.4,"9.4 Sangha to Rinku Singh, 1 run, flighted delivery on middle and leg, nudged behind square on the on-side for a single"
